cache-scratchN iso   00.29 26728 2.11 0.01 1 7346
cache-scratchN je    00.28 3300 2.10 0.00 1 2029
cache-scratchN lp    00.30 760 2.24 0.01 1 831
cache-scratchN mi    00.28 1180 2.10 0.00 1 934
cache-scratchN mi-sec 00.27 1320 2.10 0.00 1 969
cache-scratchN tc    00.29 6756 2.12 0.01 1 2881
cache-scratchN pro   00.28 712 2.12 0.00 1 806
glibc-simple sys   04.59 876 4.48 0.10 4 828
glibc-simple iso   04.67 27072 4.56 0.10 1 7436
glibc-simple je    04.74 1380 4.73 0.00 1 1048
glibc-simple lp    04.62 1092 4.53 0.09 1 922
glibc-simple mi    01.43 1456 1.42 0.00 1 1008
glibc-simple mi-sec 02.87 1656 2.87 0.00 1 1088
glibc-simple tc    03.03 4880 3.02 0.00 1 1862
glibc-simple pro   04.61 1072 4.52 0.09 1 901
glibc-thread sys   5.701 4508 15.93 0.04 4 1740
glibc-thread iso   5.554 30468 15.94 0.04 1 8283
glibc-thread je    3.983 5240 15.96 0.04 1 1962
glibc-thread lp    6.094 4612 15.96 0.04 1 1798
glibc-thread mi    1.659 3944 15.95 0.04 1 1627
glibc-thread mi-sec 3.709 28868 15.94 0.07 1 7872
glibc-thread tc    3.194 7364 15.95 0.03 1 2480
glibc-thread pro   6.235 4540 15.96 0.03 1 1764
